playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws,position
aardsda01,David,Aardsma,David Allan,215,75,R,R,CF
aaronha01,Hank,Aaron,Henry Louis,180,72,R,R,RF
aaronto01,Tommie,Aaron,Tommie Lee,190,75,R,R,C
aasedo01,Don,Aase,Donald William,190,75,R,R,3B
abadan01,Andy,Abad,Fausto Andres,184,73,L,L,Pitcher
abadfe01,Fernando,Abad,Fernando Antonio,220,73,L,L,CF
abadijo01,John,Abadie,John W.,192,72,R,R,3B
abbated01,Ed,Abbaticchio,Edward James,170,71,R,R,CF
abbeybe01,Bert,Abbey,Bert Wood,175,71,R,R,3B
abbeych01,Charlie,Abbey,Charles S.,169,68,L,L,SS
abbotda01,Dan,Abbott,Leander Franklin,190,71,R,R,2B
abbotfr01,Fred,Abbott,Harry Frederick,180,70,R,R,1B
abbotgl01,Glenn,Abbott,William Glenn,200,78,R,R,LF
abbotje01,Jeff,Abbott,Jeffrey William,190,74,R,L,3B
abbotji01,Jim,Abbott,James Anthony,200,75,L,L,OF
abbotku01,Kurt,Abbott,Kurt Thomas,180,71,R,R,C
abbotky01,Kyle,Abbott,Lawrence Kyle,200,76,L,L,SS
abbotod01,Ody,Abbott,Ody Cleon,180,74,R,R,Pitcher
abbotpa01,Paul,Abbott,Paul David,185,75,R,R,CF
aberal01,Al,Aber,Albert Julius,195,74,L,L,OF
abercda01,Frank,Abercrombie,Francis Patterson,,,,,RF
abercre01,Reggie,Abercrombie,Reginald Damascus,215,75,R,R,3B
abernbi01,Bill,Abernathie,William Edward,190,70,R,R,LF
abernbr01,Brent,Abernathy,Michael Brent,185,73,R,R,C
abernte01,Ted,Abernathy,Talmadge Lafayette,210,74,R,L,RF
abernte02,Ted,Abernathy,Theodore Wade,215,76,R,R,RF
abernwo01,Woody,Abernathy,Virgil Woodrow,170,72,L,L,2B
aberscl01,Cliff,Aberson,Clifford Alexander,200,72,R,R,DH
ablesha01,Harry,Ables,Harry Terrell,200,74,R,L,3B
abnersh01,Shawn,Abner,Shawn Wesley,190,73,R,R,RF
abramca01,Cal,Abrams,Calvin Ross,185,72,L,L,3B
abramge01,George,Abrams,George Allen,170,69,R,R,LF
abregjo01,Johnny,Abrego,Johnny Ray,185,72,R,R,RF
abreubo01,Bobby,Abreu,Bob Kelly,220,72,L,R,OF
abreujo01,Joe,Abreu,Joseph Lawrence,160,68,R,R,C
abreujo02,Jose,Abreu,Jose Dariel,255,75,R,R,Pitcher
abreuju01,Juan,Abreu,Juan de Dios,185,72,R,R,SS
abreuto01,Tony,Abreu,Etanislao Toni,200,70,B,R,2B
abreuwi01,Winston,Abreu,Winston Leonardo,170,74,R,R,SS
abstebi01,Bill,Abstein,William Henry,185,72,R,R,SS
accarje01,Jeremy,Accardo,Jeremiah Lee,195,72,R,R,DH
aceveal01,Alfredo,Aceves,Alfredo,205,74,R,R,CF
acevejo01,Jose,Acevedo,Jose Omar,185,72,R,R,2B
aceveju01,Juan,Acevedo,Juan Carlos,245,74,R,R,Pitcher
achteaj01,A. J.,Achter,Adam Joseph,215,77,R,R,3B
ackerji01,Jim,Acker,James Justin,210,74,R,R,1B
ackerto01,Tom,Acker,Thomas James,215,76,R,R,DH
ackledu01,Dustin,Ackley,Dustin Michael,205,73,L,R,Pitcher
acklefr01,Fritz,Ackley,Florian Frederick,202,73,L,R,1B
acostcy01,Cy,Acosta,Cecilio,165,70,R,R,3B
acosted01,Ed,Acosta,Eduardo Elixbet,215,77,B,R,OF
acostjo01,Jose,Acosta,Jose,134,66,R,R,CF
acostma01,Manny,Acosta,Manuel Alcides,215,76,R,R,OF
acostme01,Merito,Acosta,Baldomero Pedro,140,67,L,L,Pitcher
acrema01,Mark,Acre,Mark Robert,235,80,R,R,Pitcher
actama99,Manny,Acta,Manuel Elias,172,74,R,R,Pitcher
adairbi99,Bill,Adair,Marion Danne,168,72,R,R,Pitcher
adairje01,Jerry,Adair,Kenneth Jerry,175,72,R,R,CF
adairji01,Jimmy,Adair,James Audrey,154,70,R,R,Pitcher
adamecr01,Cristhian,Adames,Cristhian Pascual,185,72,B,R,LF
adamsac01,Ace,Adams,Ace Townsend,182,70,R,R,DH
adamsau01,Austin,Adams,Austin David,200,71,R,R,RF
adamsba01,Babe,Adams,Charles Benjamin,185,71,L,R,SS
adamsbe01,Bert,Adams,John Bertram,185,73,B,R,3B
adamsbo01,Bob,Adams,Robert Burnette,168,71,R,R,LF
adamsbo02,Bob,Adams,Robert Andrew,165,72,R,R,1B
adamsbo03,Bobby,Adams,Robert Henry,160,70,R,R,OF
adamsbo04,Bob,Adams,Robert Melvin,200,74,R,R,SS
adamsbu01,Buster,Adams,Elvin Clark,180,72,R,R,Pitcher
adamsda01,Dan,Adams,Daniel Leslie,165,71,R,R,LF
adamsda02,David,Adams,David Lee,205,74,R,R,DH
adamsdi01,Dick,Adams,Richard Leroy,185,72,R,L,Pitcher
adamsdo01,Doug,Adams,Harold Douglas,185,75,L,R,OF
adamsge01,George,Adams,George Henry,175,66,R,R,2B
adamsgl01,Glenn,Adams,Glenn Charles,180,73,L,R,Pitcher
adamshe01,Herb,Adams,Herbert Loren,160,69,L,L,1B
adamsji01,Jim,Adams,James J.,148,66,,R,CF
adamsjo01,Joe,Adams,Joseph Edward,190,72,R,L,1B
adamsjo02,Joel,Adamson,Joel Lee,185,76,L,L,DH
adamska01,Karl,Adams,Karl Tutwiler,170,74,R,R,1B
adamsla01,Lane,Adams,Lane Weston,220,75,R,R,CF
adamsma01,Matt,Adams,Matthew James,260,75,L,R,DH
adamsmi01,Mike,Adamson,John Michael,185,74,R,R,OF
adamsmi02,Mike,Adams,Robert Michael,180,69,R,R,OF
adamsmi03,Mike,Adams,Jon Michael,210,77,R,R,CF
adamsre01,Red,Adams,Charles Dwight,185,72,R,R,1B
adamsri01,Rick,Adams,Reuben Alexander,165,72,L,L,DH
adamsri02,Ricky,Adams,Ricky Lee,180,74,R,R,1B
adamsru01,Russ,Adams,Russ Moore,205,72,L,R,C
adamsry01,Ryan,Adams,Ryan Scott,185,71,R,R,CF
adamssp01,Sparky,Adams,Earl John,151,65,R,R,LF
adamssp02,Spencer,Adams,Spencer Dewey,158,69,L,R,RF
adamste01,Terry,Adams,Terry Wayne,180,75,R,R,CF
adamswi01,Willie,Adams,James Irvin,180,76,R,R,LF
adamswi02,Willie,Adams,William Edward,215,79,R,R,SS
adcocjo01,Joe,Adcock,Joseph Wilbur,210,76,R,R,CF
adcocna01,Nathan,Adcock,Nathan Masler,235,76,R,R,2B
addisbo01,Bob,Addis,Robert Gordon,175,72,L,R,SS
adducji01,Jim,Adduci,James David,200,77,L,L,SS
adducji02,Jim,Adduci,Jim Charles,210,74,L,L,DH
addybo01,Bob,Addy,Robert Edward,160,68,L,L,Pitcher
